Number,Object Name,Nickname,Location,Weight,Points dropping,Place to drop/open,Points taking,Status,Verbs,Text,Dependent,Imcompatible,Description
33,a flashlight,flashlight,16,1,0,0,10,off,"get,turn",,0,0,A high-intensity tactical flashlight. Turn it on to light dark rooms.
34,an oxygen tank,tank,29,5,0,0,0,,get,,0,0,A heavy canister containing compressed life-support oxygen.
35,a carbon filter,filter,30,2,0,0,0,,get,,0,0,An air filtration membrane. Used to decontaminate Life Support.
36,a fused circuit,circuit,98,1,0,0,0,,get,,0,0,A burnt-out microprocessor core.
37,a reactor console,console,35,0,0,0,0,,start,,0,0,The main reactor auto-destruct control board.
38,an escape pod console,pod,65,0,0,0,0,,start,,0,0,An emergency evacuation capsule console.
39,a bridge terminal,terminal,1,0,0,0,0,,start,,0,0,The master bridge command mainframe console.
40,a purification grid,purification,26,0,0,0,0,,start,,0,0,The air and water purification grid control system.
41,some stolen plans,plans,90,1,0,0,40,,get,,0,0,A datapad containing the stolen troop movements plans.
42,a specimen jar,jar,50,2,0,0,0,,get,,0,0,A glass jar containing a preserved biological organism.
43,a xenophage claw,claw,89,3,0,0,0,,get,,0,0,A razor-sharp chitinous blade harvested from a drone. Weight-based weapon.
44,a comm headset,headset,3,1,0,0,0,,get,,0,0,A lightweight communications headset.
45,a broken drone,drone,100,6,0,0,0,,get,,0,0,A damaged scout droid from the Mecha-Legion.
46,a station map,map,10,1,0,0,10,,"get,read","AEGIS PRIME MAP: DECK A (BRIDGE/1-15), DECK B (CREW/16-30), DECK C (REACTOR/31-45), DECK D (LABS/46-60), DECK E (HANGAR/61-75), DECK F (VANGUARD/76-85), DECK G (SWARM/86-95), DECK H (DROIDS/96-105)",0,0,A schematic map of Aegis Prime Station layout.
47,a canteen,canteen,18,1,0,0,0,,get,,0,0,A metallic flask containing fresh drinking water.
48,a ration pack,ration,17,1,0,0,0,,get,,0,0,A vacuum-sealed nutrient meal block.
49,a cryo key,cryokey,47,1,50,55,0,closed,"get,open",,0,0,A chilled cryogenic keycard. It opens the Research Labs Vault (Room 55).
50,a mainframe core,core,105,8,100,84,50,,"get,drop",,0,0,"The glowing, heavy optical core of the station mainframe."
51,a stellar chart,chart,4,1,0,0,10,,"get,read",AEGIS PRIME SECTOR ORBIT: SECURE ORBIT OVER NEBULA COORDINATES 42.10.88.99,0,0,A stellar map of the local sector star systems.
52,a vanguard badge,badge,76,1,0,0,0,,get,,0,0,A silver service badge of the Solar Vanguard division.
